,title,news_id,text,cluster,processed_text,x_pos,y_pos
0,What happened to Nex Benedict?,0,"What happened to Nex Benedict?. Benedict was attacked at their Oklahoma high school, and found dead at home the next day. The medical examiner's office says the nonbinary 16-year-old died by suicide. Their family has questions.",0,happen benedict benedict attack oklahoma high school find dead home medical examiner office nonbinary year suicide family question,-14.886755,1.2184441
1,Supreme Court again refuses to intervene in drag show controversy,1,Supreme Court again refuses to intervene in drag show controversy. It was the second time the court has refused to step into a drag controversy this term.,6,supreme court refuse intervene drag controversy second time court refuse step drag controversy term,-14.788931,-8.117183
2,Oprah Winfrey pays tribute at GLAAD Media Awards to gay brother who died from AIDS,2,"Oprah Winfrey pays tribute at GLAAD Media Awards to gay brother who died from AIDS. In an emotional speech during the GLAAD Media Awards in Los Angeles Thursday night, Oprah Winfrey paid a tearful tribute to her late brother, Jeffrey Lee, who died from AIDS in 1989 when he was just 29 years old.",4,oprah winfrey tribute glaad media awards brother aids emotional speech glaad media awards angeles thursday night oprah winfrey tearful tribute late brother jeffrey aids 1989 year,-12.984646,-3.8863063
3,"From contradictions to compassion, the LDS Church struggles with LGBTQ+ inclusion",3,"From contradictions to compassion, the LDS Church struggles with LGBTQ+ inclusion. Despite assertions of immutability and consistency, The Church of Jesus Christ of Latter-day Saints’s positions on sexuality and gender have proven fragile and changeable across time. Throughout much of the 19th century, for example, plural marriage between a…",5,contradiction compassion church struggle lgbtq+ inclusion despite assertion immutability consistency church jesus christ saints position sexuality gender prove fragile changeable time 19th century example plural marriage,6.237905,7.12994
4,"Editor Q&A: Florida can 'say gay,' and what motivates LGBTQ+ voters",4,"Editor Q&A: Florida can 'say gay,' and what motivates LGBTQ+ voters. It was a busy week in LGBTQ+ news, and two Advocate editors sat down for a conversation about the latest headlines on Advocate Today. Up for discussion: a settlement on the ‘don't say gay’ bill in Florida, and a new poll that found restrictions on trans and a…",2,editor florida motivate lgbtq+ voter busy week lgbtq+ news advocate editor conversation late headline advocate today discussion settlement bill florida poll find restriction tran,7.2927437,1.8201286
5,"Elliot Page on LGBTQ cinema: ‘I’m sorry, but this is not niche’",5,"Elliot Page on LGBTQ cinema: ‘I’m sorry, but this is not niche’. Speaking at the BFI Flare, London’s LGBTQ film festival, Elliot Page, whose new film is ""Close to You,"" took aim at the notion that queer films only have a small audience.",3,elliot page cinema sorry niche speak flare london film festival elliot page film close notion film small audience,-8.042502,-9.783315
6,LGBTQ+ TikTokers: Banning app will 'eliminate' online communities & activism (exclusive),6,"LGBTQ+ TikTokers: Banning app will 'eliminate' online communities & activism (exclusive). The U.S. House of Representatives has voted to ban TikTok
, jeopardizing the LGBTQ+ users who have built communities on the platform, as well as the queer content creators whose livelihood depends on it.",2,lgbtq+ tiktoker eliminate online community activism exclusive u.s. house representatives vote tiktok jeopardize lgbtq+ user build community platform content creator livelihood depend,7.31198,-3.7437015
7,"Oprah, Niecy Nash, Out win big at GLAAD awards",7,"Oprah, Niecy Nash, Out win big at GLAAD awards. The 35th GLAAD Media Awards were handed out Thursday evening in Beverly Hills, Calif., with Out — a sister publication of The Advocate — winning the 2024 GLAAD Media Award for Outstanding Magazine Overall Coverage.",3,oprah niecy nash glaad award 35th glaad media awards hand thursday evening beverly hills calif. sister publication advocate 2024 glaad media award outstanding magazine overall coverage,-9.967113,-14.472636
8,Republican Ohio senate candidate Bernie Moreno’s LGBTQ+ hypocrisy exposed,8,"Republican Ohio senate candidate Bernie Moreno’s LGBTQ+ hypocrisy exposed. Prominent Republican Ohio U.S. Senate candidate Bernie Moreno, once lauded for his advocacy and support within the LGBTQ+ community, now faces scrutiny over his current hardline conservative political positions and a past linked to an adult website profile.",4,republican ohio senate candidate bernie moreno lgbtq+ hypocrisy expose prominent republican ohio u.s. senate candidate bernie moreno laud advocacy support lgbtq+ community face scrutiny current hardline conservative political position past link adult website profile,-1.7466792,-11.108294
9,"Yes, J.K. Rowling, the Nazis persecuted trans people, burned books",9,"Yes, J.K. Rowling, the Nazis persecuted trans people, burned books. J.K. Rowling, well known for her anti-transgender stances, recently questioned a social media post that said Germany’s Nazi regime burned books on trans health care, suggesting it might be a “fever dream” and that the poster should do some fact-checking. Well…",8,j.k. rowling nazis persecute trans burn book j.k. rowling know anti transgender stance recently question social media post germany nazi regime burn book tran health care suggest fever dream poster fact checking,0.3252221,-4.5089345
10,"Toxicology experts say death from medications in Nex Benedict case ‘very, very uncommon’",10,"Toxicology experts say death from medications in Nex Benedict case ‘very, very uncommon’. The death of Nex Benedict, a 16-year-old transgender student of Indigenous heritage from Oklahoma who used he, him, they, and them pronouns, has ignited a nationwide debate on several issues, including the rampant bullying faced by LGBTQ+ students in schools …",0,toxicology expert death medication benedict case uncommon death benedict year transgender student indigenous heritage oklahoma pronoun ignite nationwide debate issue include rampant bullying face lgbtq+ student school,-13.96606,1.4331288
11,LGBTQ+ in Africa: How the US far-right whips up homophobia,11,"LGBTQ+ in Africa: How the US far-right whips up homophobia. Tough laws targeting homosexual acts or abortion in African nations are often preceded by the lobbying of American hardliners. Often well-financed, they campaign against equality and diversity.",2,lgbtq+ africa right whip homophobia tough target homosexual abortion african nation precede lobbying american hardliner finance campaign equality diversity,9.118435,3.0330238
