,author,title,description,url,urlToImage,publishedAt,content,source_id,source_name
0,C Mandler,What happened to Nex Benedict?,"Benedict was attacked at their Oklahoma high school, and found dead at home the next day. The medical examiner's office says the nonbinary 16-year-old died by suicide. Their family has questions.",https://www.npr.org/2024/03/15/1238780699/nex-benedict-nonbinary-oklahoma-death-bullying,https://media.npr.org/assets/img/2024/03/15/78189723_1707517380645220_r_wide-f8b1128d3583d39aa02515b40997b0f07af589af-s1400-c100.jpeg,2024-03-15T20:34:53Z,"Nex Benedict was frequently targeted by bullies at their Oklahoma high school because of their gender identity.
Kasandra Phelps via GoFundMe
If you or someone you know may be considering suicide or… [+7579 chars]",,NPR
1,Elissa Harwood,Supreme Court again refuses to intervene in drag show controversy,It was the second time the court has refused to step into a drag controversy this term.,https://www.npr.org/2024/03/15/1238906976/supreme-court-drag-shows,https://media.npr.org/assets/img/2024/03/15/2023-10-04-dc-stock--cdull--14-2_wide-6900ea49b945ccf9b1f6fb66fe0c57c3e6aca6a3-s1400-c100.jpg,2024-03-15T22:18:36Z,"The U.S. Supreme Court declined to hear a case involving drag shows in Texas.
Catie Dull/NPR
The Supreme Court on Friday declined to get involved in a First Amendment challenge to a drag show ban. … [+2962 chars]",,NPR
2,Jay Valle,Oprah Winfrey pays tribute at GLAAD Media Awards to gay brother who died from AIDS,"In an emotional speech during the GLAAD Media Awards in Los Angeles Thursday night, Oprah Winfrey paid a tearful tribute to her late brother, Jeffrey Lee, who died from AIDS in 1989 when he was just 29 years old.",https://www.nbcnews.com/news/us-news/oprah-winfrey-pays-tribute-glaad-media-awards-gay-brother-died-aids-rcna143589,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2024-03/20240515-oprah-sj-1100-b1bd91.jpg",2024-03-15T16:08:28Z,"In an emotional speech during the GLAAD Media Awards in Los Angeles on Thursday night, Oprah Winfrey paid a tearful tribute to her late brother, Jeffrey Lee, who died from AIDS in 1989 when he was 29… [+3346 chars]",nbc-news,NBC News
3,Keith Burns,"From contradictions to compassion, the LDS Church struggles with LGBTQ+ inclusion","Despite assertions of immutability and consistency, The Church of Jesus Christ of Latter-day Saints’s positions on sexuality and gender have proven fragile and changeable across time. Throughout much of the 19th century, for example, plural marriage between a…",https://www.advocate.com/voices/lds-church-lgbtq,https://www.advocate.com/media-library/group-mormons-building-bridges-march-salt-lake-city-utah-lgbtq-pride-parade.jpg?id=51749424&width=1200&height=600&coordinates=0%2C0%2C0%2C78,2024-03-15T20:30:03Z,"Despite assertions of immutability and consistency, The Church of Jesus Christ of Latter-day Saintss positions on sexuality and gender have proven fragile and changeable across time. Throughout much … [+4929 chars]",,Advocate.com
4,Keith Burns,"From contradictions to compassion, the LDS Church struggles with LGBTQ+ inclusion","Despite assertions of immutability and consistency, The Church of Jesus Christ of Latter-day Saints’s positions on sexuality and gender have proven fragile and changeable across time. Throughout much of the 19th century, for example, plural marriage between a…",https://www.advocate.com/lds-church-lgbtq,https://www.advocate.com/media-library/group-mormons-building-bridges-march-salt-lake-city-utah-lgbtq-pride-parade.jpg?id=51749424&width=1200&height=600&coordinates=0%2C0%2C0%2C78,2024-03-15T20:30:03Z,"Despite assertions of immutability and consistency, The Church of Jesus Christ of Latter-day Saintss positions on sexuality and gender have proven fragile and changeable across time. Throughout much … [+4929 chars]",,Advocate.com
5,Advocate.com Editors,"Editor Q&A: Florida can 'say gay,' and what motivates LGBTQ+ voters","It was a busy week in LGBTQ+ news, and two Advocate editors sat down for a conversation about the latest headlines on Advocate Today. Up for discussion: a settlement on the ‘don't say gay’ bill in Florida, and a new poll that found restrictions on trans and a…",https://www.advocate.com/news/editor-chat-advocate-today,https://www.advocate.com/media-library/florida-lgbtq-pride-parade-say-gay-rainbow-sign-political-shirts-kayla-gagnet-alex-cooper.jpg?id=51752200&width=1200&height=600&coordinates=0%2C78%2C0%2C0,2024-03-15T18:54:07Z,"It was a busy week in LGBTQ+ news, and two Advocate editors sat down for a conversation about the latest headlines on Advocate Today. Up for discussion: a settlement on the don't say gay bill in Flor… [+7686 chars]",,Advocate.com
6,Variety,"Elliot Page on LGBTQ cinema: ‘I’m sorry, but this is not niche’","Speaking at the BFI Flare, London’s LGBTQ film festival, Elliot Page, whose new film is ""Close to You,"" took aim at the notion that queer films only have a small audience.",https://www.nbcnews.com/news/us-news/elliot-page-lgbtq-cinema-m-sorry-not-niche-rcna143645,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2024-03/240315-Elliot-Page-al-1448-253a55.jpg",2024-03-15T19:01:01Z,"Elliot Page has taken aim at the notion that queer films only have a small audience.
Speaking at the BFI Flare, Londons LGBTQ film festival, the actor said that 30% of young people identify as LGBTQ… [+1824 chars]",nbc-news,NBC News
7,"Ryan Adamczeski,Ariel Messman-Rucker",LGBTQ+ TikTokers: Banning app will 'eliminate' online communities & activism (exclusive),"The U.S. House of Representatives has voted to ban TikTok
, jeopardizing the LGBTQ+ users who have built communities on the platform, as well as the queer content creators whose livelihood depends on it.",https://www.advocate.com/exclusives/lgbtq-tiktok-ban-response,https://www.advocate.com/media-library/lgbtq-tiktoker-content-creators-cody-conner-v-spehar-jeffrey-marsh.jpg?id=51751562&width=1200&height=600&coordinates=0%2C0%2C0%2C78,2024-03-15T19:23:42Z,"The U.S. House of Representatives has voted to ban TikTok
, jeopardizing the LGBTQ+ users who have built communities on the platform, as well as the queer content creators whose livelihood depends o… [+4598 chars]",,Advocate.com
8,Advocate.com Editors,"Oprah, Niecy Nash, Out win big at GLAAD awards","The 35th GLAAD Media Awards were handed out Thursday evening in Beverly Hills, Calif., with Out — a sister publication of The Advocate — winning the 2024 GLAAD Media Award for Outstanding Magazine Overall Coverage.",https://www.advocate.com/media/oprah-niecy-out-glaad-awards,https://www.advocate.com/media-library/oprah-winfrey.jpg?id=51752617&width=1200&height=600&coordinates=0%2C0%2C0%2C78,2024-03-15T23:28:29Z,"The 35th GLAAD Media Awards were handed out Thursday evening in Beverly Hills, Calif., with Out a sister publication of The Advocate winning the 2024 GLAAD Media Award for Outstanding Magazine Overal… [+3754 chars]",,Advocate.com
9,Christopher Wiggins,Republican Ohio senate candidate Bernie Moreno’s LGBTQ+ hypocrisy exposed,"Prominent Republican Ohio U.S. Senate candidate Bernie Moreno, once lauded for his advocacy and support within the LGBTQ+ community, now faces scrutiny over his current hardline conservative political positions and a past linked to an adult website profile.",https://www.advocate.com/news/bernie-moreno-ohio-hypocrisy,https://www.advocate.com/media-library/bernie-moreno-campaign-video.jpg?id=51749445&width=1200&height=600&coordinates=0%2C0%2C0%2C78,2024-03-15T17:41:43Z,"Prominent Republican Ohio U.S. Senate candidate Bernie Moreno, once lauded for his advocacy and support within the LGBTQ+ community, now faces scrutiny over his current hardline conservative politica… [+2442 chars]",,Advocate.com
