,news_id,subject,relation,object
0,0,Benedict,found at_time,next day
1,0,Benedict,was attacked at,their Oklahoma high school
2,0,Benedict,found at_time,day
3,0,Benedict,was attacked at,their Oklahoma school
4,0,Benedict,was,attacked
5,0,examiner 's office,says,died by suicide
6,0,examiner 's office,nonbinary died by,suicide
7,0,examiner 's office,died by,suicide
8,0,medical examiner 's office,nonbinary died by,suicide
9,0,medical examiner,has,office
10,0,medical examiner 's office,says,nonbinary died
11,0,medical examiner 's office,says,nonbinary died by suicide
12,0,medical examiner 's office,says,died
13,0,examiner 's office,says,died
14,0,medical examiner 's office,died by,suicide
15,0,examiner 's office,says,nonbinary died
16,0,medical examiner 's office,says,died by suicide
17,0,examiner 's office,says,nonbinary died by suicide
18,0,Their family,has,questions
19,1,Supreme Court,refuses,to intervene
20,1,Supreme Court,refuses,intervene
21,1,Supreme Court,refuses,intervene in drag show controversy
22,1,Supreme Court,refuses,to intervene in drag show controversy
23,1,Supreme Court,again refuses,intervene
24,1,Supreme Court,again refuses,to intervene in drag show controversy
25,1,Supreme Court,intervene in,drag show controversy
26,1,Supreme Court,again refuses,intervene in drag show controversy
27,1,Supreme Court,again refuses,to intervene
28,1,court,step at_time,term
29,1,court,has refused,step into drag controversy term
30,1,court,has refused,to step into drag controversy term
31,1,court,has refused,to step term
32,1,court,has refused,step term
33,1,It,was,second time
34,1,It,was,time
35,2,Oprah Winfrey,pays tribute at,GLAAD Media Awards
36,2,Oprah Winfrey,pays,tribute
37,2,Oprah Winfrey,pays tribute to,gay brother
38,2,Oprah Winfrey,pays tribute to,brother
39,2,he,was old,just 29 years
40,2,Oprah Winfrey,paid tribute to,her late brother
41,2,Oprah Winfrey,paid tribute In,speech during GLAAD Media Awards in Los Angeles Thursday night
42,2,GLAAD Media Awards,is in,Los Angeles
43,2,Oprah Winfrey,paid,tearful tribute
44,2,Oprah Winfrey,paid tribute In,speech during GLAAD Media Awards Thursday night
45,2,Oprah Winfrey,paid tribute to,her brother
46,2,Oprah Winfrey,paid tribute In,emotional speech Thursday night
47,2,Oprah Winfrey,paid tribute In,emotional speech during GLAAD Media Awards Thursday night
48,2,Oprah Winfrey,paid,tribute
49,2,Oprah Winfrey,paid tribute In,emotional speech during GLAAD Media Awards in Los Angeles Thursday night
50,2,he,was,when just 29 years old
51,2,Oprah Winfrey,paid tribute to,Jeffrey Lee
52,2,Oprah Winfrey,paid tribute In,speech Thursday night
53,2,her,brother,Jeffrey Lee
54,3,LDS Church,struggles with,LGBTQ inclusion
55,3,LDS Church,struggles From,contradictions
56,3,LDS Church,struggles From,contradictions to compassion
57,3,Church,have proven Despite,assertions
58,3,Church,have proven Despite,assertions of immutability
59,3,Church,have proven,fragile across time
60,3,Latter day Saints,of,positions on sexuality
61,3,Church,have proven,fragile
62,4,Florida,can say,gay
63,4,It,was,busy week
64,4,It,was week in,LGBTQ news
65,4,It,was busy,news
66,4,It,was,week
67,4,busy week,is in,LGBTQ news
68,4,It,was busy week in,LGBTQ news
69,5,I,’m,sorry
70,5,London,’s festival is,Elliot Page
71,5,London,’s,LGBTQ film festival
72,6,Banning app,will eliminate,communities
73,6,Banning app,will eliminate,online communities
74,6,app,will eliminate,online communities
75,6,Banning app,will eliminate,activism
76,6,app,will eliminate,communities
77,6,app,will eliminate,activism
78,6,TikTok,jeopardizing,LGBTQ users
79,6,livelihood,depends on,it
80,6,U.S. House,ban,TikTok
81,7,win big,Out Oprah is,Niecy Nash
82,7,35th GLAAD Media Awards,were handed out at_time,Thursday evening
83,7,GLAAD Media Awards,were handed out at_time,Thursday evening
84,8,Republican Ohio senate candidate Bernie Moreno,’s,LGBTQ hypocrisy
85,8,Republican Ohio U.S. Senate candidate Bernie Moreno,now faces,scrutiny
86,8,Ohio U.S. Senate candidate Bernie Moreno,now faces,scrutiny over his current hardline positions
87,8,Ohio U.S. Senate candidate Bernie Moreno,faces,scrutiny over his hardline positions
88,8,Republican Ohio U.S. Senate candidate Bernie Moreno,now faces,scrutiny over his hardline positions
89,8,Ohio U.S. Senate candidate Bernie Moreno scrutiny,lauded for,his advocacy LGBTQ community
90,8,Ohio U.S. Senate candidate Bernie Moreno scrutiny,once lauded for,his advocacy
91,8,Republican Ohio U.S. Senate candidate Bernie Moreno,faces,scrutiny over his current hardline positions
92,8,Republican Ohio U.S. Senate candidate Bernie Moreno scrutiny,once lauded for,his advocacy LGBTQ community
93,8,Prominent Ohio U.S. Senate candidate Bernie Moreno scrutiny,once lauded for,his advocacy
94,8,Prominent Ohio U.S. Senate candidate Bernie Moreno,lauded for,his advocacy
95,8,Ohio U.S. Senate candidate Bernie Moreno,now faces,scrutiny over his conservative positions
96,8,Ohio U.S. Senate candidate Bernie Moreno,faces,scrutiny
97,8,Ohio U.S. Senate candidate Bernie Moreno,once lauded for,his advocacy LGBTQ community
98,8,Prominent Republican Ohio U.S. Senate candidate Bernie Moreno scrutiny,once lauded for,his advocacy
99,8,Prominent Republican Ohio U.S. Senate candidate Bernie Moreno,faces,scrutiny over his current positions
100,8,Prominent Republican Ohio U.S. Senate candidate Bernie Moreno,faces,scrutiny over his positions
101,8,Prominent Republican Ohio U.S. Senate candidate Bernie Moreno scrutiny,lauded for,his advocacy LGBTQ community
102,8,Republican Ohio U.S. Senate candidate Bernie Moreno,once lauded for,his advocacy LGBTQ community
103,8,Republican Ohio U.S. Senate candidate Bernie Moreno scrutiny,lauded for,his advocacy
104,8,Ohio U.S. Senate candidate Bernie Moreno,faces,scrutiny over his current hardline positions
105,8,Republican Ohio U.S. Senate candidate Bernie Moreno,faces,scrutiny over his positions
106,8,Republican Ohio U.S. Senate candidate Bernie Moreno,now faces,scrutiny over his positions
107,8,Prominent Republican Ohio U.S. Senate candidate Bernie Moreno,faces,scrutiny over his current hardline positions
108,8,Republican Ohio U.S. Senate candidate Bernie Moreno,faces,scrutiny
109,8,Prominent Republican Ohio U.S. Senate candidate Bernie Moreno,now faces,scrutiny over his hardline positions
110,8,Ohio U.S. Senate candidate Bernie Moreno,faces,scrutiny over his positions
111,8,Prominent Republican Ohio U.S. Senate candidate Bernie Moreno scrutiny,once lauded for,his advocacy LGBTQ community
112,8,Prominent Republican Ohio U.S. Senate candidate Bernie Moreno,now faces,scrutiny over his current positions
113,8,Ohio U.S. Senate candidate Bernie Moreno scrutiny,lauded for,his advocacy
114,8,Republican Ohio U.S. Senate candidate Bernie Moreno scrutiny,once lauded for,his advocacy
115,8,Prominent Ohio U.S. Senate candidate Bernie Moreno,once lauded for,his advocacy
116,8,Prominent Ohio U.S. Senate candidate Bernie Moreno,faces,scrutiny over his conservative positions
117,8,Prominent Ohio U.S. Senate candidate Bernie Moreno scrutiny,lauded for,his advocacy
118,8,Ohio U.S. Senate candidate Bernie Moreno,faces,scrutiny over his current positions
119,8,Prominent Ohio U.S. Senate candidate Bernie Moreno,now faces,scrutiny over his hardline positions
120,8,Prominent Republican Ohio U.S. Senate candidate Bernie Moreno,faces,scrutiny over his conservative positions
121,8,Republican Ohio U.S. Senate candidate Bernie Moreno,now faces,scrutiny over his current hardline positions
122,8,Prominent Republican Ohio U.S. Senate candidate Bernie Moreno,once lauded for,his advocacy LGBTQ community
123,8,Prominent Republican Ohio U.S. Senate candidate Bernie Moreno,faces,scrutiny
124,8,Prominent Ohio U.S. Senate candidate Bernie Moreno scrutiny,once lauded for,his advocacy LGBTQ community
125,8,Prominent Republican Ohio U.S. Senate candidate Bernie Moreno,now faces,scrutiny over his positions
126,8,Prominent Republican Ohio U.S. Senate candidate Bernie Moreno,now faces,scrutiny
127,8,Prominent Ohio U.S. Senate candidate Bernie Moreno scrutiny,lauded for,his advocacy LGBTQ community
128,8,Republican Ohio U.S. Senate candidate Bernie Moreno,now faces,scrutiny over his current positions
129,8,Ohio U.S. Senate candidate Bernie Moreno,now faces,scrutiny
130,8,Republican Ohio U.S. Senate candidate Bernie Moreno,lauded for,his advocacy
131,8,Prominent Ohio U.S. Senate candidate Bernie Moreno,faces,scrutiny over his positions
132,8,Ohio U.S. Senate candidate Bernie Moreno,now faces,scrutiny over his positions
133,8,Prominent Republican Ohio U.S. Senate candidate Bernie Moreno,once lauded for,his advocacy
134,8,Republican Ohio U.S. Senate candidate Bernie Moreno,faces,scrutiny over his current positions
135,8,Ohio U.S. Senate candidate Bernie Moreno scrutiny,once lauded for,his advocacy LGBTQ community
136,8,Ohio U.S. Senate candidate Bernie Moreno,lauded for,his advocacy LGBTQ community
137,8,Republican Ohio U.S. Senate candidate Bernie Moreno scrutiny,lauded for,his advocacy LGBTQ community
138,8,Prominent Republican Ohio U.S. Senate candidate Bernie Moreno,lauded for,his advocacy
139,8,Prominent Republican Ohio U.S. Senate candidate Bernie Moreno,now faces,scrutiny over his conservative positions
140,8,Prominent Republican Ohio U.S. Senate candidate Bernie Moreno,faces,scrutiny over his hardline positions
141,8,Republican Ohio U.S. Senate candidate Bernie Moreno,now faces,scrutiny over his conservative positions
142,8,Ohio U.S. Senate candidate Bernie Moreno,now faces,scrutiny over his current positions
143,8,Ohio U.S. Senate candidate Bernie Moreno,faces,scrutiny over his conservative positions
144,8,Prominent Ohio U.S. Senate candidate Bernie Moreno,faces,scrutiny over his hardline positions
145,8,Prominent Ohio U.S. Senate candidate Bernie Moreno,now faces,scrutiny over his positions
